KUNDENR;CVRNR;KUNDETYPE;REGION;BUTIKSNAVN;KUNDENAVN;ADRESSE;LAND;POSTNR;BYNAVN;TLFNR;EDINR;EMAIL
042050-5;18416484;12;2;MIN KØBMAND NAKSKOV;RASMUSSEN & HANSEN;VESTENSKOVVEJ 28;DK;4900;NAKSKOV;54949052;5790000824502;0420505@MINKOBMAND.DK
042052-1;18416484;12;2;MIN KØBMAND NØRREBALLE;RASMUSSEN & HANSEN;KOHOLTVEJ 1;DK;4951;NØRREBALLE;54789102;5790000824595;0420521@MINKOBMAND.DK
050328-4;30947169;12;2;MIN KØBMAND LÆSØ;MICHAEL  CHRISTENSEN;HAVNEGADE 2, ØSTERBY HAVN;DK;9940;LÆSØ;98498054;5790000824601;0503284@MINKOBMAND.DK
013307-4;28194099;12;2;MIN KØBMAND KØNG;VAGN B. HEMMINGSEN;BYGADEN 20, KØNG;DK;4750;LUNDBY;55769002;5790000824649;0133074@MINKOBMAND.DK
037695-4;16364835;12;2;MIN KØBMAND OSTED;STEEN OLSEN;FUGLETOFTEN 17, OSTED;DK;4320;LEJRE;46497010;5790000824656;0376954@MINKOBMAND.DK
201128-6;34612528;12;8;SPAR HVIDBJERG;SPAR HVIDBJERG A/S;BREDGADE 3 -  HVIDBJERG;DK;7790;THYHOLM;97871008;5790000824670;2011286@SPAR.DK
037704-4;28455275;12;2;MIN KØBMAND VIG;SØREN HAGELUND; VIG HOVEDGADE 8;DK;4560;VIG;59315259;5790000824687;0377044@MINKOBMAND.DK
201107-0;25975987;12;8;SPAR ERSLEV;LARS KIBSGAARD;PRÆSTBROVEJ 144;DK;7950;ERSLEV;97741064;5790000824717;2011070@SPAR.DK
071570-6;15178035;12;2;MIN KØBMAND FELDBALLE;JENS KARL ANDERSEN;EBELTOFTVEJ 54, FELDBALLE;DK;8410;RØNDE;86367019;5790000824830;0715706@MINKOBMAND.DK
072196-9;33773226;12;8;SPAR KRISTRUP;SPAR KRISTRUP APS.;VENNELYSTVEJ 56 B;DK;8960;RANDERS SØ;86431420;5790000824861;0721969@SPAR.DK
037725-9;26398657;12;8;SPAR SALLERUP;LARS ANDERSEN;SALLERUP GADE 2, SALLERUP;DK;4750;LUNDBY;55382332;5790000825066;0377259@SPAR.DK
050946-3;30939581;12;2;MIN KØBMAND BRØNDERSLEV;PETER RICCO JÆGER;KNUDSGADE 100;DK;9700;BRØNDERSLEV;98823560;5790000825097;0509463@MINKOBMAND.DK
013310-8;28154046;12;8;SPAR GUDHJEM;SPAR GUDHJEM APS;BRØDDEGADE 14;DK;3760;GUDHJEM;56485006;5790000825219;0133108@SPAR.DK
051153-5;31667534;12;2;MIN KØBMAND NR. FELDING;LENA KØHLER;SOGNSTRUPVEJ 4,NR.FELDING;DK;7500;HOLSTEBRO;97405060;5790000825424;0511535@MINKOBMAND.DK
041228-8;28841914;12;2;MIN KØBMAND ISHØJ;SPAR ISHØJ APS V/ISMAIL BULUT;STRANDGÅRDEN 13 B;DK;2635;ISHØJ;43730948;5790000825462;0412288@MINKOBMAND.DK
071590-4;26732735;12;6;KWIK SPAR BEDSTED;CONNY THOMSEN;LUNDBYESVEJ 9, BEDSTED;DK;6240;LØGUMKLOSTER;74777106;5790000825646;bedsted@spar.dk
037760-6;26757010;12;2;MIN KØBMAND KR. HELSINGE;JIM SAMUTTIS;SØNDERGADE 10,KR.HELSINGE;DK;4281;GØRLEV;58855573;5790000825684;0377606@MINKOBMAND.DK
050324-3;28314051;12;6;KWIK SPAR FJELSTERVANG;FJELSTERVANG KWIK SPAR APS;LANGGADE 3, FJELSTERVANG;DK;6933;KIBÆK;97166007;5790000825806;fjelstervang@spar.dk
051628-6;25693221;12;8;SPAR FREDERIKS;FREDERIKS SUPER A/S;SØNDERGADE 10, FREDERIKS;DK;7470;KARUP J;86661320;5790000825813;0516286@SPAR.DK
052240-9;31441714;12;6;KWIK SPAR YDBY;ANETTE VANGSGAARD;ODDESUNDVEJ 267, YDBY;DK;7760;HURUP THY;97956012;5790000825912;ydby@spar.dk
051445-5;31682436;12;2;MIN KØBMAND MANNA;ANN SCHØN;BREDNINGEN 101, MANNA;DK;9700;BRØNDERSLEV;98887028;5790000826094;0514455@MINKOBMAND.DK
072065-6;10006805;12;2;MIN KØBMAND VEJRUP;HANS JOHNSEN;VEJRUP STOREGADE 34;DK;6740;BRAMMING;75190015;5790000830640;0720656@MINKOBMAND.DK
072009-4;11841430;12;6;KWIK SPAR GJERRILD;LOTTE DANTOFT;STOKKEBRO 77, GJERRILD;DK;8500;GRENAA;86384002;5790000831036;GJERRILD@SPAR.DK
072183-7;12000731;12;8;SPAR ULLERSLEV;EGGERT CHRISTIANSEN;SVENDBORGVEJ 50-54;DK;5540;ULLERSLEV;65351471;5790000831685;0721837@SPAR.DK
072202-5;31580471;12;4;EUROSPAR SKAGEN;HEDEBOCENTER SKAGEN A/S;DOGGERBANKE 2;DK;9990;SKAGEN;98442180;5790000835553;DOGGERBANKE@SPAR.DK
052221-9;63302155;12;2;MIN KØBMAND VRENSTED;OLE JENSEN;BÅDSTEDHEDEVEJ 8, VRENSTED;DK;9480;LØKKEN;98889009;5790001060466;0522219@MINKOBMAND.DK
042029-9;29481296;12;6;KWIK SPAR KALUNDBORG;PAW KÆRHUS THERKELSEN;RØSNÆSVEJ 123;DK;4400;KALUNDBORG;59508073;5790001086381;ROSNASVEJ@SPAR.DK
072021-9;29508585;12;6;KWIK SPAR ØRSTED;HELLE HOLMER JENSEN;STOREGADE 34;DK;8950;ØRSTED;86488076;5790001086435;ORSTED2@SPAR.DK
042013-3;10043425;12;8;SPAR FREDERIKSVÆRK;J.CHRISTENSEN HØRSHOLM APS;HILLERØDVEJ 101;DK;3300;FREDERIKSVÆRK;47720990;5790001086459;0420133@SPAR.DK
052019-7;31588502;12;2;MIN KØBMAND TANGE;ANNALISE TVEDE;TANGESØVEJ 4;DK;8850;BJERRINGBRO;86658380;5790001098032;0520197@MINKOBMAND.DK
051152-7;31172047;12;8;SPAR SÆBY;SPAR TORVET APS;GRØNNEGADE 20;DK;9300;SÆBY;98401020;5790001098063;0511527@SPAR.DK
052223-5;18394243;12;8;SPAR FÅRUP;KIM PEDERSEN;BUTIKSTORVET 3;DK;8990;FÅRUP;86452016;5790001253967;0522235@SPAR.DK
061324-0;0;15;0;MOMMARK HANDELSKOSTSKOLE-;MOMMARK HANDELSKOSTSKOLE;MOMMARK;DK;6470;SYDALS;74407913;5790000006205; 
502207-4;0;19;1;PILERSUISOQ A/S;3950 AASIAAT AASIAAT LAVPRIS;INDKØBSAFD. BOX 480 502207-4;GL;3911;SISIMIUT;29914044;5790000011957;DC_MAILAGENT@KNI.GL
502184-5;0;19;1;PILERSUISOQ A/S;SERMINIGAAQ, 3913 AMMASSALIK;INDKØBSAFD. BOX 480, 502184-5;GL;3911;SISIMIUT;29914044;5790000035960;QRD@KNI.GL
502185-2;0;19;1;PILERSUISOQ A/S;UPV KUJALLEQ, 3962 UPERNAVIK;INDKØBSAFD. BOX 480, 502185-2;GL;3911;SISIMIUT;29914044;5790000035991;QRD@KNI.GL
502186-0;0;19;1;PILERSUISOQ A/S;QAARSUT, 3961 UUMMANNAQ;INDKØBSAFD. BOX 480, 502186-0;GL;3911;SISIMIUT;29914044;5790000036134;QRD@KNI.GL
502187-8;0;19;1;PILERSUISOQ A/S;IKERASAK, 3961 UUMMANNAQ;INDKØBSAFD. BOX 480, 502187-8;GL;3911;SISIMIUT;29914044;5790000036400;QRD@KNI.GL
502188-6;0;19;1;PILERSUISOQ A/S;SAATTUUT, 3961 UUMMANNAQ;INDKØBSAFD. BOX 480, 502188-6;GL;3911;SISIMIUT;29914044;5790000036660;QRD@KNI.GL
502189-4;0;19;1;PILERSUISOQ A/S;UKKUSISSAT,3961 UUMMANNAQ;INDKØBSAFD. BOX 480, 502189-4;GL;3911;SISIMIUT;29914044;5790000036745;QRD@KNI.GL
502191-0;0;19;1;PILERSUISOQ A/S;NARSARMIIT, 3922 NANORTALIK;INDKØBSAFD. BOX 480, 502191-0;GL;3911;SISIMIUT;29000000;5790000230945;QRD@KNI.GL
502193-6;0;19;1;PILERSUISOQ A/S;EGALUGAARSUIT,3920 QAQORTOQ;INDKØBSAFD. BOX 480, 502193-6;GL;3911;SISIMIUT;29000000;5790000231065;DC_MAILAGENT@KNI.GL
502190-2;0;19;1;PILERSUISOQ A/S;AAPPILATTOQ, 3922 NANORTALIK;INDKØBSAFD. BOX 480, 502190-2;GL;3911;SISIMIUT;29000000;5790000231089;QRD@KNI.GL
502208-2;0;19;1;PILERSUISOQ A/S;IKERASAARSUK,3950 AASIAAT;INDKØBSAFD. BOX 480, 502208-2;GL;3911;SISIMIUT;29914044;5790000235995;DC_MAILAGENT@KNI.GL
502209-0;0;19;1;PILERSUISOQ A/S;AKUNAAQ,3950 AASIAAT;INDKØBSAFD. BOX 480, 502209-0;GL;3911;SISIMIUT;29914044;5790000236053;QRD@KNI.GL
502210-8;0;19;1;PILERSUISOQ A/S;KITSISSUARSUIT,3950 AASIAAT;INDKØBSAFD. BOX 480, 502210-8;GL;3911;SISIMIUT;29914044;5790000236114;QRD@KNI.GL
502211-6;0;19;1;PILERSUISOQ A/S;IGINNIARFIK,3950 AASIAAT;INDKØBSAFD. BOX 480, 502211-6;GL;3911;SISIMIUT;29914044;5790000236169;QRD@KNI.GL
502212-4;0;19;1;PILERSUISOQ A/S;IKAMIUT, 3951 QASIGIANNGUIT;INDKØBSAFD. BOX 480, 502212-4;GL;3911;SISIMIUT;29914044;5790000236329;QRD@KNI.GL
502213-2;0;19;1;PILERSUISOQ A/S;OQAATSUT, 3952 ILUISSAT;INDKØBSAFD. BOX 480, 502213-2;GL;3911;SISIMIUT;29914044;5790000236336;DC_MAILAGENT@KNI.GL
502214-0;0;19;1;PILERSUISOQ A/S;ILIMANAQ, 3952 ILULISSAT;INDKØBSAFD. BOX 480, 502214-0;GL;3911;SISIMIUT;29914044;5790000236343;DC_MAILAGENT@KNI.GL
502215-7;0;19;1;PILERSUISOQ A/S;NIAQORNAAT, 3961 UUMMANNAQ;INDKØBSAFD. BOX 480, 502215-7;GL;3911;SISIMIUT;29914044;5790000236404;QRD@KNI.GL
502216-5;0;19;1;PILERSUISOQ A/S;ILLORTSUIT, 3961 UUMMANNAQ;INDKØBSAFD. BOX 480, 502216-5;GL;3911;SISIMIUT;29914044;5790000236459;QRD@KNI.GL
502217-3;0;19;1;PILERSUISOQ A/S;NUGAATSIAQ, 3961 UUMMANNAQ;INDKØBSAFD. BOX 480, 502217-3;GL;3911;SISIMIUT;29914044;5790000236497;QRD@KNI.GL
502218-1;0;19;1;PILERSUISOQ A/S;KAMIK FÆLLES INDKØB;POSTBOKS 60, 502218-1;GL;3900;NUUK;99348510;5790000238521;DC_MAILAGENT@KNI.GL
502219-9;0;19;1;PILERSUISOQ A/S;KAMIK MINIMARKED;POSTBOKS 60, 502219-9;GL;3900;NUUK;99328503;5790000238538;QRD@KNI.GL
502220-7;11919454;19;1;PILERSUISOQ A/S;KAMIK CENTERMARKED;POSTBOKS 60, 502220-7;GL;3900;NUUK;99348514;5790000238545;QRD@KNI.GL
502221-5;0;19;1;PILERSUISOQ A/S;KAMIK NUKØB;POSTBOKS 60, 502221-5;GL;3900;NUUK;99348513;5790000238552;QRD@KNI.GL
502222-3;0;19;1;PILERSUISOQ A/S;KAMIK DERES TANK;POSTBOKS 60, 502222-3;GL;3900;NUUK;99348516;5790000238569;QRD@KNI.GL
502223-1;0;19;1;PILERSUISOQ A/S;KAMIK VINBODEN;POSTBOKS 60, 502223-1;GL;3900;NUUK;99321251;5790000238576;QRD@KNI.GL
502195-1;0;19;1;PILERSUISOQ A/S;QASSIARSUK,3920 QAQORTOQ;INDKØBSAFD. BOX 480, 502195-1;GL;3911;SISIMIUT;29914044;5790000245598;DC_MAILAGENT@KNI.GL
502196-9;0;19;1;PILERSUISOQ A/S;TINITEGILAAQ,3913 TASIILAQ;INDKØBSAFD. BOX 480, 502196-9;GL;3911;SISIMIUT;29914044;5790000245611;QRD@KNI.GL
502197-7;0;19;1;PILERSUISOQ A/S;ISORTOG, 3913 TASIILAQ;INDKØBSAFD. BOX 480 502197-7;GL;3911;SISIMIUT;29914044;5790000245642;QRD@KNI.GL
502205-8;0;19;1;PILERSUISOQ A/S;TASIISAQ, 3920 QAQORTOQ;INDKØBSAFD. BOX 480, 502205-8;GL;3911;SISIMIUT;29914044;5790000245659;QRD@KNI.GL
502201-7;0;19;1;PILERSUISOQ A/S;AMMASSIVIK, 3920 QAQORTOQ;INDKØBSAFD. BOX 480, 502201-7;GL;3911;SISIMIUT;29914044;5790000245727;QRD@KNI.GL
502202-5;0;19;1;PILERSUISOQ A/S;SAARLOQ, 3920 QAQORTOQ;INDKØBSAFD. BOX 480, 502202-5;GL;3911;SISIMIUT;29914044;5790000245789;DC_MAILAGENT@KNI.GL
502203-3;0;19;1;PILERSUISOQ A/S;QASSIMIUT, 3920 QAQORTOQ;INDKØBSAFD. BOX 480, 502203-3;GL;3911;SISIMIUT;29914044;5790000245819;DC_MAILAGENT@KNI.GL
502204-1;0;19;1;PILERSUISOQ A/S;IGALIKU, 3920 QAQORTOQ;INDKØBSAFD. BOX 480, 502204-1;GL;3911;SISIMIUT;29914044;5790000245925;DC_MAILAGENT@KNI.GL
502206-6;0;19;1;PILERSUISOQ A/S;3952 ILULISSAT;HOVEDLAGERET;GL;3952;ILULISSAT;29914044;5790000606665;QRD@KNI.GL
502153-0;99999999;19;1;PILERSUISOQ A/S;KANGAATSIAQ, 3950 AASIAAT;INDKØBSAFD. BOX 480, 502153-0;GL;3911;SISIMIUT;99890044;5790000606894;DC_MAILAGENT@KNI.GL
502149-8;99999999;19;1;PILERSUISOQ A/S;ATAMMIK, 3912 MANIITSOQ;INDKØBSAFD. ,BOX 480. 502149-8;GL;3911;SISIMIUT;29000000;5790000606900;DC_MAILAGENT@KNI.GL
502152-2;99999999;19;1;PILERSUISOQ A/S;NAPASOQ, 3912 MANIITSOQ;INDKØBSAFD. BOX 480, 502152-2;GL;3911;SISIMIUT;29000000;5790000606917;DC_MAILAGENT@KNI.GL
502154-8;99999999;19;1;PILERSUISOQ A/S;3900 NUUK DISTRIBUTIONSLAGER;INDKØBSAFD. BOX 480, 502154-8;GL;3911;SISIMIUT GRØNLAND;29000000;5790000606924;QRD@KNI.GL
502156-3;99999999;19;1;PILERSUISOQ A/S;3919 ALLUITSUP PAA;INDKØBSAFD. BOX 480, 502156-3;GL;3911;SISIMIUT;99619044;5790000606931;QRD@KNI.GL
502155-5;99999999;19;1;PILERSUISOQ A/S;KANGERSUATSIAQ, 3962 UPERNAVIK;INDKØBSAFD. BOX 480, 502155-5;GL;3911;SISIMIUT;99966044;5790000606948;QRD@KNI.GL
502118-3;99999999;19;1;PILERSUISOQ A/S;KANGAMIUT, 3912 MANIITSOQ;INDKØBSAFD. BOX 480, 502118-3;GL;3911;SISIMIUT;819444;5790000608683;QRD@KNI.GL
502103-5;99999999;19;1;PILERSUISOQ A/S;3950 AASIAAT, REGIONALLAGER;INDKØBSAFD. BOX 480, 502103-5;GL;3911;SISIMIUT;29914044;5790000608768;DC_MAILAGENT@KNI.GL
502101-9;99999999;19;1;PILERSUISOQ A/S;3913 AMMASSALIK;INDKØBSAFD. BOX 480, 502101-9;GL;3911;SISIMIUT;29914044;5790000608874;QRD@KNI.GL
502110-0;99999999;19;1;PILERSUISOQ A/S;3920 QAQORTOQ,REGIONALLAGER;INDKØBSAFD. BOX 480;GL;3911;SISIMIUT;29914044;5790000608881;QRD@KNI.GL
502105-0;99999999;19;1;QEQ-S PILERSUISOQ A/S;3953 QEQERTARSUSQ;INDKØBSAFD. BOX 480 502105-0;GL;3911;SISIMIUT;29914044;5790000608898;QRD@KNI.GL
502121-7;99999999;19;1;PILERSUISOQ A/S;3961 UUMMANNAQ;INDKØBSAFD. BOX 480, 502121-7;GL;3911;SISIMIUT;29914044;5790000608904;QRD@KNI.GL
502122-5;99999999;19;1;PILERSUISOQ A/S;3962 UPERNAVIK;INDKØBSAFD. BOX 480, 502122-5;GL;3911;SISIMIUT;29914044;5790000608911;QRD@KNI.GL
502123-3;99999999;19;1;PILERSUISOQ A/S;3970 SAVISSIVIK;INDKØBSAFD. BOX 480, 502123-3;GL;3911;SISIMIUT;31546001;5790000608928;QRD@KNI.GL
502111-8;99999999;19;1;PILERSUISOQ A/S;3970 MORIUSAQ;INDKØBSAFD. BOX 480;GL;3911;SISIMIUT;29914044;5790000608935;QRD@KNI.GL
502120-9;99999999;19;1;PILERSUISOQ A/S;3971 QAANAAQ;INDKØBSAFD. BOX 480, 502120-9;GL;3911;SISIMIUT;29914044;5790000608942;QRD@KNI.GL
502116-7;99999999;19;1;PILERSUISOQ A/S;3971 SIORAPALUK;INDKØBSAFD. BOX 480, 502116-7;GL;3911;SISIMIUT;31546001;5790000608959;QRD@KNI.GL
502115-9;99999999;19;1;PILERSUISOQ A/S;3980 SCORESBYSUND;INDKØBSAFD. BOX 480, 502115-9;GL;3911;SISIMIUT;29914044;5790000608966;QRD@KNI.GL
502124-1;99999999;19;1;PILERSUISOQ A/S;QAQERTARSUATSIAAT,3900 NUUK;INDKØBSAFD. BOX 480, 502124-1;GL;3911;SISIMIUT;29000000;5790000609000;QRD@KNI.GL
502148-0;99999999;19;1;PILERSUISOQ A/S;KAPISILLIT, 3900  NUUK;INDKØBSAFD. BOX 480, 502148-0;GL;3911;SISIMIUT;29000000;5790000609017;QRD@KNI.GL
502158-9;99999999;19;1;PILERSUISOQ A/S;ATTU, 3950 AASIAAT;INDKØBSAFD. BOX 480, 502158-9;GL;3911;SISIMIUT;99000000;5790000826049;DC_MAILAGENT@KNI.GL
502159-7;99999999;19;1;PILERSUISOQ A/S;NIAQORNAARSUK,3950 AASIAAT;INDKØBSAFD. BOX 480, 502159-7;GL;3911;SISIMIUT;99000000;5790000826056;DC_MAILAGENT@KNI.GL
502160-5;99999999;19;1;PILERSUISOQ A/S;3932 ARSUK;INDKØBSAFD. BOX 480, 502160-5;GL;3911;SISIMIUT;99000000;5790000826063;DC_MAILAGENT@KNI.GL
502162-1;99999999;19;1;PILERSUISOQ A/S;3910 KANGERLUSSUAQ;INDKØBSAFD. BOX 480, 502162-1;GL;3911;SISIMIUT;29000000;5790000826193;QRD@KNI.GL
502163-9;99999999;19;1;PILERSUISOQ A/S;3923 NARSARSSUAQ;INDKØBSAFD. BOX 480, 502163-9;GL;3911;SISIMIUT;29000000;5790000826209;DC_MAILAGENT@KNI.GL
502164-7;99999999;19;1;PILERSUISOQ A/S;3922 NANORTALIK;INDKØBSAFD. BOX 480, 502164-7;GL;3911;SISIMIUT;29000000;5790000826216;DC_MAILAGENT@KNI.GL
502165-4;99999999;19;1;PILERSUISOQ A/S;3921 NARSAQ;INDKØBSAFD. BOX 480, 502165-4;GL;3911;SISIMIUT;29000000;5790000826223;DC_MAILAGENT@KNI.GL
502167-0;99999999;19;1;PILERSUISOQ A/S;3940 PAAMIUT;INDKØBSAFD. BOX 480, 502167-0;GL;3911;SISIMIUT;29000000;5790000826247;DC_MAILAGENT@KNI.GL
502169-6;99999999;19;1;PILERSUISOQ A/S;3951 QASIGIANGUIT;INDKØBSAFD. BOX 480, 502169-6;GL;3911;SISIMIUT;29000000;5790000826261;DC_MAILAGENT@KNI.GL
502171-2;99999999;19;1;PILERSUISOQ A/S;ITILLEQ, 3911 SISIMIUT;INDKØBSAFD. BOX 480, 502171-2;GL;3911;SISIMIUT;29000000;5790000826285;QRD@KNI.GL
502172-0;99999999;19;1;PILERSUISOQ A/S;SARFANNGUAQ, 3911 SISIMIUT;INDKØBSAFD. BOX 480, 502172-0;GL;3911;SISIMIUT;29000000;5790000826292;QRD@KNI.GL
502173-8;99999999;19;1;PILERSUISOQ A/S;KULLORSUAQ,3962 UPERNAVIK;INDKØBSAFD. BOX 480, 502173-8;GL;3911;SISIMIUT;29000000;5790000826308;QRD@KNI.GL
502174-6;99999999;19;1;PILERSUISOQ A/S;TASIUSAQ UPV,3962 UPERNAVIK;INDKØBSAFD. BOX 480, 502174-6;GL;3911;SISIMIUT;29000000;5790000826315;QRD@KNI.GL
502175-3;99999999;19;1;PILERSUISOQ A/S;KUUMIUT, 3913 TASIILAQ;INDKØBSAFD. BOX 480, 502175-3;GL;3911;SISIMIUT;29000000;5790000826322;QRD@KNI.GL
502176-1;99999999;19;1;PILERSUISOQ A/S;3915 KULUSUK;INDKØBSAFD. BOX 480, 502176-1;GL;3911;SISIMIUT;29000000;5790000826339;QRD@KNI.GL
502183-7;99999999;19;1;PILERSUISOQ A/S;AAPPILATTOQ, 3962 UPERNAVIK;INDKØBSAFD. BOX 480, 502183-7;GL;3911;SISIMIUT;29000000;5790000826384;QRD@KNI.GL
502178-7;99999999;19;1;PILERSUISOQ A/S;NUUSUAQ, 3962 UPERNAVIK;INDKØBSAFD. BOX 480, 502178-7;GL;3911;SISIMIUT;29000000;5790000826391;QRD@KNI.GL
502179-5;99999999;19;1;PILERSUISOQ A/S;INNAARSUIT, 3962 UPERNAVIK;INDKØBSAFD. BOX 480, 502179-5;GL;3911;SISIMIUT;29000000;5790000826407;QRD@KNI.GL
502180-3;99999999;19;1;PILERSUISOQ A/S;QEQERTAQ, 3952 ILULISSAT;INDKØBSAFD. BOX 480, 502180-3;GL;3911;SISIMIUT;29000000;5790000826414;DC_MAILAGENT@KNI.GL
502181-1;99999999;19;1;PILERSUISOQ A/S;SAQQAQ, 3952 ILULISSAT;INDKØBSAFD. BOX 480, 502181-1;GL;3911;SISIMIUT;29000000;5790000826421;DC_MAILAGENT@KNI.GL
075098-4;26089115;20;8;SUPERBEST RANDERS BØSBROV;KC STORKØB A/S;BØSBROVEJ 54;DK;8940;RANDERS SV;86436011;5790000003006;075098@superbest.dk
075096-8;26089115;20;8;SUPERBEST HADSTEN;ISO SUPERMARKED A/S;NØRREGADE 2;DK;8370;HADSTEN;86980033;5790000003013;075096@superbest.dk
075127-1;12907494;20;1;SUPERBEST;SØNDERVIG SUPERMARKED APS;BADEVEJ 1, SØNDERVIG;DK;6950;RINGKØBING;97339600;5790000003457;SDRSUPER@POST.TELE.DK
045121-1;31991900;20;8;SUPERBEST ØSTERBRO I/S;V/ OLE STRECKER;ØSTERFÆLLED TORV 22;DK;2100;KØBENHAVN Ø;35438400;5790000005864;045121@SUPERBEST.DK
045122-9;32078583;20;1;SUPERBEST NAKSKOV;SB PETERS A/S;HAVNEGADE 69;DK;4900;NAKSKOV;54920222;5790000005871;045122@SUPERBEST.DK
075140-4;28108265;20;6;LALANDIA BILLUND;LALANDIA BILLUND A/S;ELLEHAMMERS ALLE 3;DK;7190;BILLUND;76149413;5790000006069;SHU@LALANDIA.DK
045126-0;32164250;20;8;SUPERBEST CHARLOTTEN I/S;V/BRIAN BANKE;JÆGERSBORG ALLE 4;DK;2920;CHARLOTTENLUND;44521800;5790000007004;045126.KOL@SUPERBEST.DK
045120-3;27084303;20;6;LALANDIA RØDBY;LALANDIA A/S;HAGESVEJ 1;DK;4970;RØDBY;54610618;5790000007066;JJ@LALANDIA.DK
201101-3;20967536;20;1;SUPERBEST KLOKKERHOLM;KLOKKERHOLM A/S;BREDKÆRSVEJ 7 B  KLOKKERHOLM;DK;9320;HJALLERUP;98284011;5790000007158;201101@superbest.dk
502968-1;0;20;2;BONUS MIDVAGUR;C/O P/F SMS;POSTBOKS 1059, 502968-1;FO;110;TORSHAVN, FÆRØERNE;98332400;5790000007196; 
201102-1;20967501;20;1;KÆRSGAARD SUPERBEST Ø.VRÅ;KASPER KÆRSGAARD;BREDGADE 2 - 4;DK;9750;ØSTERVRÅ;98951477;5790000007318;201102@superbest.dk
045124-5;33762097;20;3;SUPERBEST ONLINE;TINA KOFOD;KÆRUP INDUSTRIVEJ 12;DK;4100;RINGSTED;72331500;5790000007486;TINA.KOFOD@SUPERBEST.DK
502940-0;8032092;20;2;BONUS KLAKSVIK  1;C/O P/F SMS;POSTBOKS 1059,  502940-0;FO;110;TORSHAVN, FÆRØERNE;98455091;5790000011452;HALLGERD@SMS.FO
045084-1;26557275;20;1;SOLRØD SUPERBEST APS    .;SØREN PETERSEN;SOLRØD CENTER 35;DK;2680;SOLRØD STRAND;56140033;5790000011490;045084@superbest.dk
061010-5;20775149;20;1;SUPERBEST;JACO SUPERMARKED A/S;VIBORGVEJ 277;DK;8210;ÅRHUS V;86112672;5790000011513;061010.BC@SUPERBEST.DK
075141-2;32300170;20;1;SUPERBEST CHRISTIANSFELD;SUPERBEST CHRISTIANSFELD APS;LINDEGADE 33;DK;6070;CHRISTIANSFELD;74561950;5790000011919;075141@SUPERBEST.DK
045086-6;40202528;20;1;BS SUPERBEST A/S;SØREN ROMMELHOF;BAGSVÆRD HOVEDGADE 128;DK;2880;BAGSVÆRD;44987777;5790000011971;045086@SUPERBEST.DK
050448-0;26089115;20;8;SUPERBEST HERNING;DREISLER STORKØB A/S;DÆMNINGEN 17;DK;7400;HERNING;99340300;5790000014460;050448@superbest.dk
075002-6;11988148;20;1;HALS SUPERBEST;SVEND PAPE;HAVNEGADE 15;DK;9370;HALS;98251017;5790000025893;075002@superbest.dk
113975-7;25366980;20;1;SUPERBEST SØBORG;SUPERBEST SØBORG APS;SØBORG HOVEDGADE 108;DK;2860;SØBORG;39560485;5790000026531;113975@superbest.dk
200402-6;73909112;20;1;ELLEBÆK SUPERBEST;POUL DJERNES APS;BEETHOVENSVEJ 10;DK;7500;HOLSTEBRO;97428111;5790000028214;200402@superbest.dk
215085-2;73440610;20;1;SUPERBEST STØVRING APS;SUPERBEST STØVRING;CITY CENTRET 12;DK;9530;STØVRING;98371021;5790000028542;215085@superbest.dk
075042-2;10578140;20;1;HT SUPERBEST;OLE THOMSEN;BREDGADE 92;DK;9830;TÅRS;98961455;5790000030217;INFO@HT-TAARS.DK
241544-6;32151833;20;1;SUPERBEST STRUER;SUPERBEST STRUER K/S;ØLBYVEJ 30;DK;7600;STRUER;97850299;5790000031450;241544@superbest.dk
023514-3;65310910;20;1;SUPERBEST MÅLØV;JA A/S;JØRGEN ANDERSENSVEJ 1-5;DK;2760;MÅLØV;44972255;5790000033898;023514@superbest.dk
016094-5;89650615;20;1;SUPERBEST ALLERØD;POUL & HENRIK KIÆRULF APS.;KIRSEBÆRGÅRDEN 2 - 22;DK;3450;ALLERØD;48141778;5790000033942;016094@superbest.dk
045003-1;76492816;20;1;MØLLER JENSEN SUPERBEST;MØLLER JENSEN A/S SUPERBEST;KRUDTTÅRNSVEJ 171;DK;2791;DRAGØR;32532255;5790000034024;045003@superbest.dk
045088-2;13121087;20;1;SUPERBEST TÅSTRUP;E.P.SUPERMARKED APS;BLÅKILDEVEJ 2;DK;2630;TAASTRUP;43324000;5790000034338;045088@superbest.dk
502967-3;322407;20;2;MYLNAN SMYRILSVEGUR;C/O P/F SMS;POSTBOKS 1059, 502967-3;FO;110;TORSHAVN FÆRØERNE;318866;5790000036462;UMSITING@SMS.FO
075110-7;17555340;20;1;FAVORIT MARKED A/S SUPERB;JEPPE NORDMAND MADSEN;SKANDERBORGVEJ 18-24;DK;8000;ÅRHUS C;86140333;5790000036592;075110@superbest.dk
045051-0;26089115;20;8;SUPERBEST PRÆSTØ;KC STORKØB A/S;SVEND GØNGES TORV 9;DK;4720;PRÆSTØ;55941999;5790000038893;045051@superbest.dk
127124-6;27214975;20;1;HELSINGE SUPERMARKED;SUPERBEST HELSINGE A/S;ØSTERGADE 6;DK;3200;HELSINGE;48796200;5790000039265;127124@SUPERBEST.DK
